"Plot Title: HOBO20"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 1058720, SEN S/N: 1058720)","Intensity, Lux (LGR S/N: 1058720, SEN S/N: 1058720)","Host Connected (LGR S/N: 1058720)","Coupler Attached (LGR S/N: 1058720)","Coupler Detached (LGR S/N: 1058720)","End Of File (LGR S/N: 1058720)"
365,07/12/23 06:10:00 PM,28.060,6544.5,,,,
366,07/12/23 06:15:00 PM,27.862,2583.4,,,,
367,07/12/23 06:20:00 PM,27.862,3788.9,,,,
368,07/12/23 06:25:00 PM,27.961,6200.0,,,,
369,07/12/23 06:30:00 PM,27.862,3272.2,,,,
370,07/12/23 06:35:00 PM,28.060,4822.3,,,,
371,07/12/23 06:40:00 PM,28.060,3961.1,,,,
372,07/12/23 06:45:00 PM,28.060,4305.6,,,,
373,07/12/23 06:50:00 PM,28.060,4477.8,,,,
374,07/12/23 06:55:00 PM,28.060,3100.0,,,,
375,07/12/23 07:00:00 PM,28.060,2583.4,,,,
376,07/12/23 07:05:00 PM,28.159,5338.9,,,,
377,07/12/23 07:10:00 PM,28.060,3788.9,,,,
378,07/12/23 07:15:00 PM,28.060,2411.1,,,,
379,07/12/23 07:20:00 PM,28.060,2669.5,,,,
380,07/12/23 07:25:00 PM,28.060,2497.2,,,,
381,07/12/23 07:30:00 PM,28.060,3616.7,,,,
382,07/12/23 07:35:00 PM,28.060,3100.0,,,,
383,07/12/23 07:40:00 PM,28.060,3788.9,,,,
384,07/12/23 07:45:00 PM,28.060,2927.8,,,,
385,07/12/23 07:50:00 PM,28.060,1291.7,,,,
386,07/12/23 07:55:00 PM,28.060,1141.0,,,,
387,07/12/23 08:00:00 PM,28.060,1722.2,,,,
388,07/12/23 08:05:00 PM,28.060,1270.1,,,,
389,07/12/23 08:10:00 PM,28.060,2152.8,,,,
390,07/12/23 08:15:00 PM,28.060,419.8,,,,
391,07/12/23 08:20:00 PM,28.060,247.6,,,,
392,07/12/23 08:25:00 PM,28.060,150.7,,,,
393,07/12/23 08:30:00 PM,28.060,96.9,,,,
394,07/12/23 08:35:00 PM,28.060,64.6,,,,
395,07/12/23 08:40:00 PM,28.060,10.8,,,,
396,07/12/23 08:45:00 PM,28.060,86.1,,,,
397,07/12/23 08:50:00 PM,28.060,86.1,,,,
398,07/12/23 08:55:00 PM,28.060,75.3,,,,
399,07/12/23 09:00:00 PM,28.060,75.3,,,,
400,07/12/23 09:05:00 PM,28.060,64.6,,,,
401,07/12/23 09:10:00 PM,28.060,64.6,,,,
402,07/12/23 09:15:00 PM,28.060,64.6,,,,
403,07/12/23 09:20:00 PM,28.060,64.6,,,,
404,07/12/23 09:25:00 PM,28.060,64.6,,,,
405,07/12/23 09:30:00 PM,28.060,64.6,,,,
406,07/12/23 09:35:00 PM,28.060,75.3,,,,
407,07/12/23 09:40:00 PM,28.060,75.3,,,,
408,07/12/23 09:45:00 PM,28.060,75.3,,,,
409,07/12/23 09:50:00 PM,28.060,64.6,,,,
410,07/12/23 09:55:00 PM,28.060,64.6,,,,
411,07/12/23 10:00:00 PM,28.060,75.3,,,,
412,07/12/23 10:05:00 PM,28.060,75.3,,,,
413,07/12/23 10:10:00 PM,28.060,64.6,,,,
414,07/12/23 10:15:00 PM,28.060,75.3,,,,
415,07/12/23 10:20:00 PM,28.060,64.6,,,,
416,07/12/23 10:25:00 PM,28.060,64.6,,,,
417,07/12/23 10:30:00 PM,28.060,75.3,,,,
418,07/12/23 10:35:00 PM,28.060,75.3,,,,
419,07/12/23 10:40:00 PM,28.060,75.3,,,,
420,07/12/23 10:45:00 PM,28.060,75.3,,,,
421,07/12/23 10:50:00 PM,28.060,75.3,,,,
422,07/12/23 10:55:00 PM,27.961,75.3,,,,
423,07/12/23 11:00:00 PM,28.060,75.3,,,,
424,07/12/23 11:05:00 PM,27.961,75.3,,,,
425,07/12/23 11:10:00 PM,27.961,75.3,,,,
426,07/12/23 11:15:00 PM,27.961,86.1,,,,
427,07/12/23 11:20:00 PM,27.961,75.3,,,,
428,07/12/23 11:25:00 PM,27.961,75.3,,,,
429,07/12/23 11:30:00 PM,27.961,64.6,,,,
430,07/12/23 11:35:00 PM,27.961,75.3,,,,
431,07/12/23 11:40:00 PM,27.961,64.6,,,,
